date,sin_t,cos_t,aus0052-0088,aus0052-0088_Dp_mean,aus0052-0088_Hs_mean,aus0052-0088_Hs_peak,aus0052-0088_Tp_mean
2018-06-29,0.04514101777397193,-0.9989806246941579,7.946764529086295,78.022446,0.7694728,1.036769,8.632154
2018-07-06,-0.07518957641475855,-0.9971692572470178,4.120392989830776,68.48793,1.2945356,2.002218,7.970466
2018-07-13,-0.19443122004766195,-0.9809161537413774,4.579180988850453,74.10331,0.65174365,1.2344084,8.722964
2018-07-20,-0.3108569682435036,-0.9504567035349151,9.879185051996842,60.37265,0.69964963,1.2849977,8.705428
2018-07-27,-0.4227806579826773,-0.9062320427107697,14.774399846648521,63.945686,0.55113655,0.92980796,8.663921
2018-08-03,-0.5285813283559292,-0.8488826652214553,22.53996150942882,52.802433,0.5485814,1.003413,6.4006233
2018-08-10,-0.6267266965083301,-0.7792391467859886,13.266018018310405,55.23726,0.7405192,1.2639543,9.029159
2018-08-17,-0.7157953492826642,-0.6983101158835584,8.493525239432358,59.763683,0.7683066,1.3027408,11.351868
2018-08-24,-0.7944973291665992,-0.6072676460566135,,81.839066,0.4534575,0.78279626,10.662459
2018-08-31,-0.8616928164028521,-0.5074302810827518,-3.9777485714301406,62.656586,0.79966617,1.8890876,7.7041044
2018-09-07,-0.9164086366943458,-0.4002439388573056,,69.13945,1.0128833,1.5172402,6.849195
2018-09-14,-0.9578523554276669,-0.28726097055059635,10.512841953190133,67.68393,0.8589601,1.2456126,11.720016
2018-09-21,-0.9854237542919524,-0.17011767832049052,11.644097124902771,64.01327,0.92699194,1.5112354,7.4988265
2018-09-28,-0.9987235240803972,-0.050510617185222886,,64.97629,0.755396,1.0390261,9.999827
2018-10-05,-0.9975590477788613,0.06982797572987089,13.888372448912435,63.76131,1.0940322,1.5783272,8.717364
2018-10-12,-0.981947190186646,0.18915526872004093,,72.08647,1.0495528,1.3716791,8.863688
2018-10-19,-0.9521140536681102,0.3057430764672831,-20.2861747283377,66.60163,2.3260274,3.7300367,9.649846
2018-10-26,-0.9084917035725082,0.41790288888678667,,67.5,1.09508,1.765786,9.180372
2018-11-02,-0.8517119107469189,0.5240103253675756,,52.922344,0.7207421,1.3393081,6.4130363
2018-11-09,-0.7825970017677834,0.6225286602431057,,49.366936,1.1110133,2.2269077,7.1911125
2018-11-16,-0.7021479494046978,0.712031078778713,,68.12245,0.91298246,1.1346585,8.057331
2018-11-23,-0.6115298757991053,0.7912213413483807,,50.06714,1.0862852,1.86016,8.648448
2018-11-30,-0.5120551783114646,0.8589525565270845,-13.79804375197682,73.159485,0.75214756,1.8235407,9.037267
2018-12-07,-0.4051645224207563,0.9142437912130223,,59.51185,0.9484716,1.8551604,7.3278546
2018-12-14,-0.29240597695107734,0.9562942772197719,,58.907295,1.4500483,1.9469652,7.93948
2018-12-21,-0.17541259380427843,0.9844950085880858,,50.266743,1.5772607,2.1882355,7.8402667
2018-12-28,-0.05587875690537313,0.9984375616565666,,79.73804,0.7978127,1.1437523,8.402948
2019-01-04,0.06875540848113941,0.9976335468520451,,67.462494,1.3795964,1.5168694,9.083019
2019-01-11,0.18809941761179758,0.9821499931752291,,67.64066,1.3223193,1.5531552,9.319494
2019-01-18,0.3047192331091634,0.9524422234305676,,67.56234,1.1730208,1.4290204,8.75069
2019-01-25,0.4169258813287287,0.908940487313808,,64.49286,0.8093768,1.4360026,7.0827622
2019-02-01,0.5230943033491326,0.8522748088519838,-15.899586581029553,59.53185,1.1062447,1.6988925,7.052313
2019-02-08,0.6216868902665479,0.7832658619336791,,67.78595,1.3506554,1.7730322,8.512007
2019-02-15,0.7112757519738152,0.7029130847082615,,68.378845,1.3624793,2.0965264,10.300615
2019-02-22,0.7905633969115482,0.612380204990065,,61.93646,1.8411266,2.6518657,10.963109
2019-03-01,0.8584015232918917,0.512978386299228,,70.639046,1.7224277,2.755079,10.696143
2019-03-08,0.9138076496466615,0.4061472386305789,-29.008723512334853,67.81751,1.7298793,2.3450518,9.741938
2019-03-15,0.9559793438440766,0.2934339689665273,-23.422452024656565,66.89924,0.9111243,1.3644978,7.3949447
2019-03-22,0.984305844499033,0.17647097349152166,-10.232985919456667,68.097084,0.8172179,0.9373702,9.1366205
2019-03-29,0.998376906467142,0.056952196034039754,,69.17226,1.0186819,1.5480824,8.570491
2019-04-05,0.9979887423155984,-0.06339140486951038,-23.915519071378753,65.979,1.1170596,1.6687307,9.097188
2019-04-12,0.9831469737221499,-0.1828169249850199,-23.8457657100316,67.787445,0.96991885,1.258276,9.18758
2019-04-19,0.9540665500578387,-0.2995947563972602,,67.52675,1.0392803,2.190914,8.223191
2019-04-26,0.9111686353326631,-0.41203363695942635,,67.5,1.536796,2.0926108,9.416957
2019-05-03,0.8550745085896932,-0.518505144391157,,67.527626,1.0634387,1.6037537,8.491949
2019-05-10,0.7865965660866021,-0.6174672802835514,-15.600200879225497,67.717125,0.9753394,1.572228,9.920621
2019-05-17,0.7067265555776159,-0.7074868024503348,,73.24412,0.9907735,1.2557641,8.433652
2019-05-24,0.6166212130956382,-0.7872599821916922,-4.764774264797268,67.703705,0.7609811,0.91002023,7.525334
2019-05-31,0.5175855102531889,-0.8556314858488706,7.356902232985846,68.0358,0.7103556,1.2175858,9.926416
2019-06-07,0.4110537546870351,-0.9116111071930239,,84.99107,0.6516675,0.8967971,10.936766
2019-06-14,0.2985688173637202,-0.9543881083175908,-5.068606560700829,73.23675,0.4676341,0.8189773,6.1927505
2019-06-21,0.18175978759137534,-0.9833429613388902,,79.96147,0.56828946,0.80023867,9.013161
2019-06-28,0.062318379354325076,-0.998056320853012,,75.712166,1.0919473,2.0076349,8.100228
2019-07-05,-0.05802556932878035,-0.9983150972033183,,67.61577,2.0692255,2.5401607,11.372548
2019-07-12,-0.17752914918703497,-0.984115542601034,-10.907057258157579,67.517494,1.1537682,2.113887,11.314631
2019-07-19,-0.2944616217868012,-0.9556633054034704,-5.572738730372038,79.86121,0.48945454,0.74579656,10.93411
2019-07-26,-0.4071294853542516,-0.9133704517637858,-6.834699754098665,70.201584,0.5376046,0.8232318,10.6333275
2019-08-02,-0.5139010013093103,-0.8578494977869301,-0.23988260734631695,77.09003,0.5488965,0.7925907,11.953194
2019-08-09,-0.6132298262997502,-0.7899045386224707,,54.748093,0.52188647,0.78584045,8.197187
